eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
p,ligula,aenean sit amet,ultrices aliquet maecenas leo odio condimentum id,p,sed magna at,m,91.45,842.54,69.87,augue luctus tincidunt,5.6,709.06,977.33,393.59,id,ultrices posuere cubilia curae,1.67,p,eget orci,pretium nisl ut,in blandit ultrices enim lorem ipsum dolor,o,commodo placerat praesent,%,180.81,292.47,362.46,pp,po
r,consectetuer adipiscing,luctus rutrum,nunc donec quis orci eget orci vehicula,i,mauris enim,%,264.25,0.82,876.35,nulla sed accumsan felis,8.58,734.62,924.44,727.07,in libero,lorem vitae mattis,4.11,p,non,donec diam,ipsum primis in faucibus orci luctus et,i,vitae ipsum aliquam,m,49.98,430.94,628.81,rp,ii
p,elit,scelerisque quam turpis,id turpis integer aliquet massa,i,odio donec,USD,245.06,883.29,308.06,ut mauris eget massa,8.42,576.96,895.33,543.83,nunc vestibulum,id lobortis,7.48,o,morbi porttitor,aenean sit amet,magna at nunc commodo placerat praesent blandit,o,sodales scelerisque mauris,%,885.89,182.86,492.72,po,io
s,donec odio,at dolor quis,pede ullamcorper augue a suscipit nulla,i,odio condimentum,USD,525.8,371.43,344.31,id nulla ultrices aliquet,1.12,580.0,61.73,214.39,rhoncus,lacinia aenean sit amet,1.48,i,quis,ut nunc vestibulum,lacinia nisi venenatis tristique fusce congue diam,s,sodales scelerisque mauris,kg,466.73,150.0,24.2,si,is
p,quisque,posuere metus vitae,felis donec semper sapien a,o,nullam varius,%,242.34,3.04,651.67,tristique tortor eu,1.67,693.05,622.72,784.53,nulla,dolor sit amet consectetuer,3.52,o,vitae nisl,vitae nisi,aenean fermentum donec ut mauris eget massa,r,suspendisse accumsan tortor,USD,275.34,720.11,627.21,po,or
p,justo,eu interdum,mauris ullamcorper purus sit amet nulla quisque,r,aenean sit,%,523.97,682.98,990.81,ipsum praesent blandit,4.63,186.66,345.24,244.06,massa quis,mauris laoreet ut rhoncus,3.37,s,at velit,sapien dignissim vestibulum,fusce posuere felis sed lacus morbi sem,i,vivamus tortor duis,USD,458.32,24.1,398.91,ps,ri
p,in sagittis,nisi volutpat,massa id lobortis convallis tortor risus dapibus,p,donec vitae nisi,m,903.67,875.18,763.79,erat tortor sollicitudin,5.79,166.93,853.77,641.52,mus etiam,nulla ut erat,4.65,r,sed,donec diam neque,praesent blandit lacinia erat vestibulum sed magna,p,diam in magna,kg,841.29,325.34,368.41,pr,pp
r,nonummy integer,aliquet at feugiat,semper est quam pharetra magna ac consequat,o,sagittis dui,m,2.44,180.56,27.34,in lacus curabitur,1.7,521.46,88.73,93.31,id nisl,sed nisl nunc,9.49,s,rutrum,massa id,amet nunc viverra dapibus nulla suscipit ligula,p,natoque penatibus,kg,138.01,971.47,256.76,rs,op
i,ante,pellentesque quisque porta,cum sociis natoque penatibus et magnis dis,s,in magna,kg,894.4,700.21,101.01,proin interdum mauris non,5.1,875.69,583.06,874.67,fusce consequat,curabitur gravida nisi,6.92,r,convallis,pulvinar lobortis,aliquam sit amet diam in magna bibendum,p,sapien cursus vestibulum,kg,22.45,212.25,816.91,ir,sp
p,dui,platea dictumst aliquam,amet lobortis sapien sapien non mi integer,p,penatibus et magnis,USD,715.04,214.23,610.58,auctor gravida sem praesent,2.46,562.76,765.95,752.85,at,amet lobortis,5.57,i,primis in,imperdiet sapien urna,tincidunt eu felis fusce posuere felis sed,p,enim sit,m,510.5,518.75,29.87,pi,pp
s,sem sed,dictumst maecenas ut,pharetra magna ac consequat metus,i,quam a odio,%,716.53,560.46,54.09,est et tempus,1.2,707.99,479.99,887.23,morbi ut,nam tristique tortor eu,6.47,s,at,lacus at velit,in quam fringilla rhoncus mauris enim leo,p,praesent id,m,875.62,374.11,627.53,ss,ip
r,magna at,faucibus accumsan odio,porta volutpat erat quisque erat,i,vestibulum sed,kg,828.88,288.73,43.84,venenatis turpis enim blandit,8.82,998.73,703.93,893.99,ante nulla,lacinia sapien,5.79,i,sed augue,enim lorem ipsum,in tempor turpis nec euismod scelerisque quam,i,amet sapien,m,801.82,377.2,288.65,ri,ii
